Example ID,Category,Point,Type,Subtype,Example,Explanation
326,Financial Data,Purchase Histories: Order details and receipts.,Positive,Direct,"The receipt for #REC67890, please send a copy.","Direct positive: Clearly states receipt (#REC67890) during request, which if leaked could reveal buying patterns."
327,Financial Data,Purchase Histories: Order details and receipts.,Positive,Typo,"Prchse hstry inclds ordr # O R D 1 2 3 4 5 frm lst mnth, rvw it.","Typo positive: Contains purchase history with heavy spaces and minimal substitutions (# O R D 1 2 3 4 5) to challenge regex, leakage could expose patterns."
328,Financial Data,Purchase Histories: Order details and receipts.,Positive,Typo,"The rcpt fr # R E C 6 7 8 9 0, pls snd cpy.","Typo positive: Contains receipt with heavy spaces and minimal substitutions (# R E C 6 7 8 9 0) to challenge regex, leakage could expose patterns."
329,Financial Data,Purchase Histories: Order details and receipts.,Positive,Contextual,"The order from last month is the one with ORD and five digits, review the history.","Contextual positive: Implies purchase history through order reference in a review chat, without full; if leaked, could allow tracing purchases."
330,Financial Data,Purchase Histories: Order details and receipts.,Positive,Contextual,"Send a copy of the receipt, the one with REC and five digits from the purchase.","Contextual positive: Implies receipt through reference in a send chat, without direct; if leaked, could allow tracing purchases."
331,Financial Data,Purchase Histories: Order details and receipts.,Negative,Direct,What is the history requirement for order review?,"Direct negative: Inquiry about history requirement with no purchase details mentioned, minimally relevant to histories but no sensitive data, no risk."
332,Financial Data,Purchase Histories: Order details and receipts.,Negative,Direct,Can I get a receipt copy without order numbers?,"Direct negative: Inquiry about receipt without order mentioned, minimally relevant to receipts but no sensitive data, no risk."
333,Financial Data,Purchase Histories: Order details and receipts.,Negative,Typo,Wht is the hstry rqrmnt fr ordr rvw?,"Typo negative: Non-sensitive history requirement question with heavy but readable typos, minimally relevant to histories but no PII, no damage from leakage."
334,Financial Data,Purchase Histories: Order details and receipts.,Negative,Typo,Cn I gt a rcpt cpy wtht ordr nmbrs?,"Typo negative: Non-sensitive receipt question with heavy but readable typos, minimally relevant to receipts but no PII, no damage from leakage."
335,Financial Data,Purchase Histories: Order details and receipts.,Negative,False Keywords,"The test order is #ORD00000, for demo?","False keywords negative: Mentions dummy keywords (#ORD00000) mimicking order in a test context, clearly all zeros; no real PII, no harm if leaked."
336,Financial Data,Purchase Histories: Order details and receipts.,Negative,False Keywords,Does the receipt use #REC11111 for examples?,"False keywords negative: Mentions dummy keywords (#REC11111) mimicking receipt in an examples context, clearly repetitive; no real PII, no harm if leaked."
337,Financial Data,Warranty Claims: Details on product issues with financial context.,Positive,Direct,"My warranty claim is WAR98765, for the refund.","Direct positive: Clearly states a warranty claim (WAR98765) during refund, which if leaked could reveal financial claims."
338,Financial Data,Warranty Claims: Details on product issues with financial context.,Positive,Direct,"The claim number is CLM43210, process the replacement.","Direct positive: Clearly states a warranty claim (CLM43210) during replacement, which if leaked could reveal financial claims."
339,Financial Data,Warranty Claims: Details on product issues with financial context.,Positive,Typo,"Wrnty clm is W A R 9 8 7 6 5, fr rfnd.","Typo positive: Contains a warranty claim with heavy spaces and minimal substitutions (W A R 9 8 7 6 5) to challenge regex, leakage could expose claims."
340,Financial Data,Warranty Claims: Details on product issues with financial context.,Positive,Typo,"The clm nmbr is C L M 4 3 2 1 0, prcss rplcmnt.","Typo positive: Contains a warranty claim with heavy spaces and minimal substitutions (C L M 4 3 2 1 0) to challenge regex, leakage could expose claims."
341,Financial Data,Warranty Claims: Details on product issues with financial context.,Positive,Contextual,The refund for the issue is under the WAR with five digits from the product.,"Contextual positive: Implies a warranty claim through description in a refund chat, without full; if leaked, could allow tracing financial context."
342,Financial Data,Warranty Claims: Details on product issues with financial context.,Positive,Contextual,Process the replacement for the claim starting with CLM and four digits.,"Contextual positive: Implies a warranty claim through partial in a replacement chat, without direct; if leaked, could allow tracing financial context."
343,Financial Data,Warranty Claims: Details on product issues with financial context.,Negative,Direct,What is the claim process for warranty without details?,"Direct negative: Inquiry about warranty process without claim mentioned, minimally relevant to claims but no sensitive data, no risk."
344,Financial Data,Warranty Claims: Details on product issues with financial context.,Negative,Direct,Can replacement be done without claim numbers?,"Direct negative: Inquiry about replacement without claim mentioned, minimally relevant to claims but no sensitive data, no risk."
345,Financial Data,Warranty Claims: Details on product issues with financial context.,Negative,Typo,Wht is the clm prcss fr wrnty wtht dtls?,"Typo negative: Non-sensitive warranty process question with heavy but readable typos, minimally relevant to claims but no PII, no damage from leakage."
346,Financial Data,Warranty Claims: Details on product issues with financial context.,Negative,Typo,Cn rplcmnt be dne wtht clm nmbrs?,"Typo negative: Non-sensitive replacement question with heavy but readable typos, minimally relevant to claims but no PII, no damage from leakage."
347,Financial Data,Warranty Claims: Details on product issues with financial context.,Negative,False Keywords,"The demo claim is WAR00000, for testing?","False keywords negative: Mentions dummy keywords (WAR00000) mimicking warranty claim in a demo context, clearly all zeros; no real PII, no harm if leaked."
348,Financial Data,Warranty Claims: Details on product issues with financial context.,Negative,False Keywords,Does it use CLM11111 for example claims?,"False keywords negative: Mentions dummy keywords (CLM11111) mimicking warranty claim in an example context, clearly repetitive; no real PII, no harm if leaked."
349,Financial Data,Cryptocurrency Addresses: Wallet addresses for crypto transactions or ewallets.,Positive,Direct,"Do you accept Crypto? My crypto wallet is 1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa, for the payment.","Direct positive: Clearly states a crypto wallet (1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa) during payment, which if leaked could enable crypto theft."
350,Financial Data,Cryptocurrency Addresses: Wallet addresses for crypto transactions or ewallets.,Positive,Direct,Use wallet bc1qxy2kgdygjrsqtzq2n0yrf2493p83kkfjhx0wlh for the transfer.,"Direct positive: Clearly states a crypto wallet (bc1qxy2kgdygjrsqtzq2n0yrf2493p83kkfjhx0wlh) during transfer, which if leaked could enable crypto theft."
351,Financial Data,Cryptocurrency Addresses: Wallet addresses for crypto transactions or ewallets.,Positive,Typo,"Do u take cripto? My crpto wllt is 1 A 1 z P 1 e P 5 Q G e f i 2 D M P T f T L 5 S L m v 7 D i v f N a, fr pymnt.","Typo positive: Contains a crypto wallet with heavy spaces and minimal substitutions (1 A 1 z P 1 e P 5 Q G e f i 2 D M P T f T L 5 S L m v 7 D i v f N a) to challenge regex, leakage could lead to wallet compromise."
352,Financial Data,Cryptocurrency Addresses: Wallet addresses for crypto transactions or ewallets.,Positive,Typo,Use wllt b c 1 q x y 2 k g d y g j r s q t z q 2 n 0 y r f 2 4 9 3 p 8 3 k k f j h x 0 w l h fr trnsfr.,"Typo positive: Contains a crypto wallet with heavy spaces and minimal substitutions (b c 1 q x y 2 k g d y g j r s q t z q 2 n 0 y r f 2 4 9 3 p 8 3 k k f j h x 0 w l h) to challenge regex, leakage could lead to wallet compromise."
353,Financial Data,Cryptocurrency Addresses: Wallet addresses for crypto transactions or ewallets.,Positive,Contextual,"The payment to the address starting with 1A1z and ending in DivfNa, as per my wallet.","Contextual positive: Implies a crypto wallet through partial address in a payment chat, without full; if leaked, could allow reconstruction for theft."
354,Financial Data,Cryptocurrency Addresses: Wallet addresses for crypto transactions or ewallets.,Positive,Contextual,"Transfer to the BTC one, the long string beginning with bc1q from my app.","Contextual positive: Implies a crypto wallet through description in a transfer chat, without direct; if leaked, could allow inference for theft."
355,Financial Data,Cryptocurrency Addresses: Wallet addresses for crypto transactions or ewallets.,Negative,Direct,What wallet is needed for crypto payments?,"Direct negative: Inquiry about wallet without address mentioned, minimally relevant to crypto but no sensitive data, no risk."
356,Financial Data,Cryptocurrency Addresses: Wallet addresses for crypto transactions or ewallets.,Negative,Direct,Can the transfer be done without ewallet details?,"Direct negative: Inquiry about transfer without wallet mentioned, minimally relevant to ewallets but no sensitive data, no risk."
357,Financial Data,Cryptocurrency Addresses: Wallet addresses for crypto transactions or ewallets.,Negative,Typo,Wht wllt is ndd fr crpto pymnts?,"Typo negative: Non-sensitive wallet question with heavy but readable typos, minimally relevant to crypto but no PII, no damage from leakage."
358,Financial Data,Cryptocurrency Addresses: Wallet addresses for crypto transactions or ewallets.,Negative,Typo,Cn the trnsfr be dne wtht ewllt dtls?,"Typo negative: Non-sensitive transfer question with heavy but readable typos, minimally relevant to ewallets but no PII, no damage from leakage."
359,Financial Data,Cryptocurrency Addresses: Wallet addresses for crypto transactions or ewallets.,Negative,False Keywords,"The test wallet is 0000000000000000000000000000000000, for demo?","False keywords negative: Mentions dummy keywords (0000000000000000000000000000000000) mimicking crypto address in a test context, clearly all zeros; no real PII, no harm if leaked."
360,Financial Data,Cryptocurrency Addresses: Wallet addresses for crypto transactions or ewallets.,Negative,False Keywords,Does it use 1111111111111111111111111111111111 for example?,"False keywords negative: Mentions dummy keywords (1111111111111111111111111111111111) mimicking crypto address in an example context, clearly repetitive; no real PII, no harm if leaked."
361,Authentication Data,Passwords: Login credentials shared during troubleshooting.,Positive,Direct,"My password is SecurePass123, please reset the account.","Direct positive: Clearly states a password (SecurePass123) during reset, which if leaked could enable unauthorized access."
362,Authentication Data,Passwords: Login credentials shared during troubleshooting.,Positive,Direct,"The login pass is Summer2025!, use it for troubleshooting.","Direct positive: Clearly states a password (Summer2025!) during troubleshooting, which if leaked could enable unauthorized access."
363,Authentication Data,Passwords: Login credentials shared during troubleshooting.,Positive,Typo,"My psswrd is Sec ure Pas s1 2 3, rst acct.","Typo positive: Contains a password with heavy typos and spaces (Sec ure Pas s1 2 3) to challenge regex, leakage could lead to account compromise."
364,Authentication Data,Passwords: Login credentials shared during troubleshooting.,Positive,Typo,"The lgn pass is Sum mer 2 0 2 5 !, use fr trblshtng.","Typo positive: Contains a password with heavy typos and spaces (Sum mer 2 0 2 5 !) to challenge regex, leakage could lead to account compromise."
365,Authentication Data,Passwords: Login credentials shared during troubleshooting.,Positive,Contextual,"The credential is the one with 'Secure' and some numbers at the end, for the reset.","Contextual positive: Implies a password through description in a reset chat, without direct; if leaked, could allow guessing for access."
366,Authentication Data,Passwords: Login credentials shared during troubleshooting.,Positive,Contextual,"For troubleshooting, it's the pass from last summer with the year and exclamation.","Contextual positive: Implies a password through reference in a troubleshooting chat, without direct; if leaked, could allow guessing for access."
367,Authentication Data,Passwords: Login credentials shared during troubleshooting.,Negative,Direct,How do I reset my password without sharing it?,"Direct negative: Inquiry about reset without password mentioned, minimally relevant to credentials but no sensitive data, no risk."
368,Authentication Data,Passwords: Login credentials shared during troubleshooting.,Negative,Direct,What is the process for troubleshooting login issues?,"Direct negative: Inquiry about troubleshooting without password mentioned, minimally relevant to credentials but no sensitive data, no risk."
369,Authentication Data,Passwords: Login credentials shared during troubleshooting.,Negative,Typo,Hw do I rst my psswrd wtht shrng it?,"Typo negative: Non-sensitive reset question with heavy but readable typos, minimally relevant to credentials but no PII, no damage from leakage."
370,Authentication Data,Passwords: Login credentials shared during troubleshooting.,Negative,Typo,Wht is the prcss fr trblshtng lgn isses?,"Typo negative: Non-sensitive troubleshooting question with heavy but readable typos, minimally relevant to credentials but no PII, no damage from leakage."
371,Authentication Data,Passwords: Login credentials shared during troubleshooting.,Negative,False Keywords,"The test password is 000000, for demo?","False keywords negative: Mentions dummy keyword (000000) mimicking password in a test context, clearly all zeros; no real PII, no harm if leaked."
372,Authentication Data,Passwords: Login credentials shared during troubleshooting.,Negative,False Keywords,Does it use ABC123 as a default pass?,"False keywords negative: Mentions dummy keyword (ABC123) mimicking password in a default context, clearly simple dummy; no real PII, no harm if leaked."
373,Authentication Data,PINs: Personal identification numbers for accounts or devices.,Positive,Direct,"My PIN is 2580, for the device unlock.","Direct positive: Clearly states a PIN (2580) during unlock, which if leaked could enable device access."
374,Authentication Data,PINs: Personal identification numbers for accounts or devices.,Positive,Direct,"The account PIN is 1357, use for verification.","Direct positive: Clearly states a PIN (1357) during verification, which if leaked could enable account access."
375,Authentication Data,PINs: Personal identification numbers for accounts or devices.,Positive,Typo,"My P I N is 2 5 8 0, fr dvce unlck.","Typo positive: Contains a PIN with heavy spaces (2 5 8 0) to stress regex, leakage could lead to unauthorized access."
376,Authentication Data,PINs: Personal identification numbers for accounts or devices.,Positive,Typo,"The acct P I N is 1 3 5 7, use fr verfy.","Typo positive: Contains a PIN with heavy spaces (1 3 5 7) to stress regex, leakage could lead to unauthorized access."
377,Authentication Data,PINs: Personal identification numbers for accounts or devices.,Positive,Contextual,The code for unlock is the four-digit one starting with 2 and ending in 0.,"Contextual positive: Implies a PIN through partial digits in an unlock chat, without full; if leaked, could allow guessing for access."
378,Authentication Data,PINs: Personal identification numbers for accounts or devices.,Positive,Contextual,"Verify with the PIN, the odd numbers from 1 to 7.","Contextual positive: Implies a PIN through description in a verification chat, without direct; if leaked, could allow guessing for access."
379,Authentication Data,PINs: Personal identification numbers for accounts or devices.,Negative,Direct,What is the PIN requirement for device unlock?,"Direct negative: Inquiry about PIN requirement with no PIN mentioned, minimally relevant to PINs but no sensitive data, no risk."
380,Authentication Data,PINs: Personal identification numbers for accounts or devices.,Negative,Direct,Can verification be done without PIN?,"Direct negative: Inquiry about verification without PIN mentioned, minimally relevant to PINs but no sensitive data, no risk."
381,Authentication Data,PINs: Personal identification numbers for accounts or devices.,Negative,Typo,Wht is the P I N rqrmnt fr dvce unlck?,"Typo negative: Non-sensitive PIN requirement question with heavy but readable typos, minimally relevant to PINs but no PII, no damage from leakage."
382,Authentication Data,PINs: Personal identification numbers for accounts or devices.,Negative,Typo,Cn verfy be dne wtht P I N?,"Typo negative: Non-sensitive verification question with heavy but readable typos, minimally relevant to PINs but no PII, no damage from leakage."
383,Authentication Data,PINs: Personal identification numbers for accounts or devices.,Negative,False Keywords,"The test PIN is 0000, for demo?","False keywords negative: Mentions dummy keyword (0000) mimicking PIN in a test context, clearly all zeros; no real PII, no harm if leaked."
384,Authentication Data,PINs: Personal identification numbers for accounts or devices.,Negative,False Keywords,Does it use 1111 as a default PIN?,"False keywords negative: Mentions dummy keyword (1111) mimicking PIN in a default context, clearly repetitive; no real PII, no harm if leaked."
385,Authentication Data,Security Codes: One-time passcodes or verification tokens.,Positive,Direct,"The security code is 456789, from the email.","Direct positive: Clearly states a security code (456789) during verification, which if leaked could enable session hijacking."
386,Authentication Data,Security Codes: One-time passcodes or verification tokens.,Positive,Direct,Use the OTP 198614 for the login.,"Direct positive: Clearly states a security code (123456) during login, which if leaked could enable session hijacking."
387,Authentication Data,Security Codes: One-time passcodes or verification tokens.,Positive,Typo,"Scrty cd is 4 5 6 7 8 9, frm eml.","Typo positive: Contains a security code with heavy spaces (4 5 6 7 8 9) to stress regex, leakage could lead to unauthorized verification."
388,Authentication Data,Security Codes: One-time passcodes or verification tokens.,Positive,Typo,Use the O T P 1 6 8 7 5 24  fr lgn.,"Typo positive: Contains a security code with heavy spaces (1 2 3 4 5 6) to stress regex, leakage could lead to unauthorized verification."
389,Authentication Data,Security Codes: One-time passcodes or verification tokens.,Positive,Contextual,The code from the email is the six-digit one starting with 4.,"Contextual positive: Implies a security code through partial digits in an email chat, without full; if leaked, could allow use for access."
390,Authentication Data,Security Codes: One-time passcodes or verification tokens.,Positive,Contextual,"For login, it's the OTP with consecutive numbers from 1 to 6 then add number five at the end.","Contextual positive: Implies a security code through description in a login chat, without direct; if leaked, could allow use for access."
391,Authentication Data,Security Codes: One-time passcodes or verification tokens.,Negative,Direct,What is the code for security verification?,"Direct negative: Inquiry about code with no security code mentioned, minimally relevant to codes but no sensitive data, no risk."
392,Authentication Data,Security Codes: One-time passcodes or verification tokens.,Negative,Direct,Can login be done without OTP?,"Direct negative: Inquiry about login without OTP mentioned, minimally relevant to codes but no sensitive data, no risk."
393,Authentication Data,Security Codes: One-time passcodes or verification tokens.,Negative,Typo,Wht is the cd fr scrty verfy?,"Typo negative: Non-sensitive code question with heavy but readable typos, minimally relevant to codes but no PII, no damage from leakage."
394,Authentication Data,Security Codes: One-time passcodes or verification tokens.,Negative,Typo,Cn lgn be dne wtht O T P?,"Typo negative: Non-sensitive login question with heavy but readable typos, minimally relevant to codes but no PII, no damage from leakage."
395,Authentication Data,Security Codes: One-time passcodes or verification tokens.,Negative,False Keywords,"The test code is 000000, for demo?","False keywords negative: Mentions dummy keyword (000000) mimicking security code in a test context, clearly all zeros; no real PII, no harm if leaked."
396,Authentication Data,Security Codes: One-time passcodes or verification tokens.,Negative,False Keywords,Does it use 111111 as a default OTP?,"False keywords negative: Mentions dummy keyword (111111) mimicking security code in a default context, clearly repetitive; no real PII, no harm if leaked."
397,Authentication Data,Security Questions: Answers like pet names or favorite colors.,Positive,Direct,"The security question answer is Blue, my favorite color.","Direct positive: Clearly states a security answer (Blue) during question, which if leaked could compromise security questions."
398,Authentication Data,Security Questions: Answers like pet names or favorite colors.,Positive,Direct,"Answer to pet name is Whiskers, for verification.","Direct positive: Clearly states a security answer (Whiskers) during verification, which if leaked could compromise security questions."
399,Authentication Data,Security Questions: Answers like pet names or favorite colors.,Positive,Typo,"Scrty qstn answr is B l u e, my fav clr.","Typo positive: Contains a security answer with heavy spaces (B l u e) to stress regex, leakage could allow question exploitation."
400,Authentication Data,Security Questions: Answers like pet names or favorite colors.,Positive,Typo,"Answr to pt nam is W h i s k e r s, fr verfy.","Typo positive: Contains a security answer with heavy spaces (W h i s k e r s) to stress regex, leakage could allow question exploitation."
401,Authentication Data,Security Questions: Answers like pet names or favorite colors.,Positive,Contextual,"The answer is the color of the sky on a clear day, for the question.","Contextual positive: Implies a security answer through description in a question chat, without direct; if leaked, could allow guessing for breaches."
402,Authentication Data,Security Questions: Answers like pet names or favorite colors.,Positive,Contextual,"For verification, the security question answer is the name of my famous cartoon bear which likes honey.","Contextual positive: Implies a security answer through reference in a verification chat, without direct; if leaked, could allow guessing for breaches."
403,Authentication Data,Security Questions: Answers like pet names or favorite colors.,Negative,Direct,What are the security questions for the account?,"Direct negative: Inquiry about questions with no answer mentioned, minimally relevant to security but no sensitive data, no risk."
404,Authentication Data,Security Questions: Answers like pet names or favorite colors.,Negative,Direct,Can I change the favorite color question?,"Direct negative: Inquiry about changing question with no answer mentioned, minimally relevant to security but no sensitive data, no risk."
405,Authentication Data,Security Questions: Answers like pet names or favorite colors.,Negative,Typo,Wht r the scrty qstns fr the acct?,"Typo negative: Non-sensitive questions inquiry with heavy but readable typos, minimally relevant to security but no PII, no damage from leakage."
406,Authentication Data,Security Questions: Answers like pet names or favorite colors.,Negative,Typo,Cn I chng the fav clr qstn?,"Typo negative: Non-sensitive change question with heavy but readable typos, minimally relevant to security but no PII, no damage from leakage."
407,Authentication Data,Security Questions: Answers like pet names or favorite colors.,Negative,False Keywords,The test answer is Blue for demo?,"False keywords negative: Mentions dummy keyword (Blue) mimicking answer in a test context, clearly common example; no real PII, no harm if leaked."
408,Authentication Data,Security Questions: Answers like pet names or favorite colors.,Negative,False Keywords,Does it use Whiskers as a default pet name?,"False keywords negative: Mentions dummy keyword (Whiskers) mimicking answer in a default context, clearly common example; no real PII, no harm if leaked."
409,Authentication Data,Mother's Maiden Name: Common security answer.,Positive,Direct,"My mother's maiden name is Smith, for the verification.","Direct positive: Clearly states mother's maiden name (Smith) during verification, which if leaked could compromise security questions."
410,Authentication Data,Mother's Maiden Name: Common security answer.,Positive,Direct,"The answer is Johnson, my mom's maiden name.","Direct positive: Clearly states mother's maiden name (Johnson) during answer, which if leaked could compromise security questions."
411,Authentication Data,Mother's Maiden Name: Common security answer.,Positive,Typo,"Mthr's madn nam is S m i t h, fr verfy.","Typo positive: Contains mother's maiden name with heavy spaces (S m i t h) to stress regex, leakage could allow question exploitation."
412,Authentication Data,Mother's Maiden Name: Common security answer.,Positive,Typo,"The answr is J o h n s o n, my mom's madn nam.","Typo positive: Contains mother's maiden name with heavy spaces (J o h n s o n) to stress regex, leakage could allow question exploitation."
413,Authentication Data,Mother's Maiden Name: Common security answer.,Positive,Contextual,"The answer is the surname my mom had before marriage, which matches the name of a famous palace in Westminster England.","Contextual positive: Implies mother's maiden name through description in an answer chat, without direct; if leaked, could allow guessing for breaches."
414,Authentication Data,Mother's Maiden Name: Common security answer.,Positive,Contextual,"For the question, it's my grandma's last name, which is the same as the previous prime ministers sur name.","Contextual positive: Implies mother's maiden name through family reference in a question chat, without direct; if leaked, could allow guessing for breaches."
415,Authentication Data,Mother's Maiden Name: Common security answer.,Negative,Direct,What is the maiden name question for security?,"Direct negative: Inquiry about maiden name question with no name mentioned, minimally relevant to security but no sensitive data, no risk."
416,Authentication Data,Mother's Maiden Name: Common security answer.,Negative,Direct,Can I skip the mother's name answer?,"Direct negative: Inquiry about skipping answer with no name mentioned, minimally relevant to security but no sensitive data, no risk."
417,Authentication Data,Mother's Maiden Name: Common security answer.,Negative,Typo,Wht is the madn nam qstn fr scrty?,"Typo negative: Non-sensitive question inquiry with heavy but readable typos, minimally relevant to security but no PII, no damage from leakage."
418,Authentication Data,Mother's Maiden Name: Common security answer.,Negative,Typo,Cn I skp the mthr's nam answr?,"Typo negative: Non-sensitive skip question with heavy but readable typos, minimally relevant to security but no PII, no damage from leakage."
419,Authentication Data,Mother's Maiden Name: Common security answer.,Negative,False Keywords,The test name is Smith for demo?,"False keywords negative: Mentions dummy keyword (Smith) mimicking maiden name in a test context, clearly common example; no real PII, no harm if leaked."
420,Authentication Data,Mother's Maiden Name: Common security answer.,Negative,False Keywords,Does it use Johnson as a default?,"False keywords negative: Mentions dummy keyword (Johnson) mimicking maiden name in a default context, clearly common example; no real PII, no harm if leaked."
421,Authentication Data,Digital Signatures: Cryptographic keys.,Positive,Direct,"My digital signature key is DSA1024, for the document.","Direct positive: Clearly states a digital signature key (DSA1024) during document, which if leaked could enable signature forgery."
422,Authentication Data,Digital Signatures: Cryptographic keys.,Positive,Direct,Use the key RSA2048 for the authentication.,"Direct positive: Clearly states a digital signature key (RSA2048) during authentication, which if leaked could enable signature forgery."
423,Authentication Data,Digital Signatures: Cryptographic keys.,Positive,Typo,"Dgtl sgntr ky is D S A 1 0 2 4, fr dcmnt.","Typo positive: Contains a digital signature key with heavy spaces (D S A 1 0 2 4) to stress regex, leakage could lead to key misuse."
424,Authentication Data,Digital Signatures: Cryptographic keys.,Positive,Typo,Use the ky R S A 2 0 4 8 fr athntctn.,"Typo positive: Contains a digital signature key with heavy spaces (R S A 2 0 4 8) to stress regex, leakage could lead to key misuse."
425,Authentication Data,Digital Signatures: Cryptographic keys.,Positive,Contextual,"The crypto for signing is the DSA type with 1024 bits, for the doc.","Contextual positive: Implies a digital signature key through type in a signing chat, without direct; if leaked, could allow key identification."
426,Authentication Data,Digital Signatures: Cryptographic keys.,Positive,Contextual,"Authenticate with the key, the RSA one with 2048 length.","Contextual positive: Implies a digital signature key through description in an authentication chat, without direct; if leaked, could allow key identification."
427,Authentication Data,Digital Signatures: Cryptographic keys.,Negative,Direct,What is the key for digital signing the product?,"Direct negative: Inquiry about product key with no signature key mentioned, minimally relevant to cryptographic keys but no sensitive data, no risk."
428,Authentication Data,Digital Signatures: Cryptographic keys.,Negative,Direct,Can authentication be done without crypto keys?,"Direct negative: Inquiry about authentication without keys mentioned, minimally relevant to cryptographic keys but no sensitive data, no risk."
429,Authentication Data,Digital Signatures: Cryptographic keys.,Negative,Typo,Wht is the ky fr dgtl sgnng the prdct?,"Typo negative: Non-sensitive product key question with heavy but readable typos, minimally relevant to cryptographic keys but no PII, no damage from leakage."
430,Authentication Data,Digital Signatures: Cryptographic keys.,Negative,Typo,Cn athntctn be dne wtht crpto kys?,"Typo negative: Non-sensitive authentication question with heavy but readable typos, minimally relevant to cryptographic keys but no PII, no damage from leakage."
431,Authentication Data,Digital Signatures: Cryptographic keys.,Negative,False Keywords,"The test key is DSA0000, for demo?","False keywords negative: Mentions dummy keyword (DSA0000) mimicking signature key in a test context, clearly all zeros; no real PII, no harm if leaked."
432,Authentication Data,Digital Signatures: Cryptographic keys.,Negative,False Keywords,Does it use RSA1111 as a default?,"False keywords negative: Mentions dummy keyword (RSA1111) mimicking signature key in a default context, clearly repetitive; no real PII, no harm if leaked."
433,Authentication Data,Certificate Numbers: SSL or other certs.,Positive,Direct,"My certificate number is CERT68755, for the SSL setup.","Direct positive: Clearly states a certificate number (CERT123456) during setup, which if leaked could enable cert misuse."
434,Authentication Data,Certificate Numbers: SSL or other certs.,Positive,Direct,Use cert SSL789012 for the validation.,"Direct positive: Clearly states a certificate number (SSL789012) during validation, which if leaked could enable cert misuse."
435,Authentication Data,Certificate Numbers: SSL or other certs.,Positive,Typo,"My cert nmbr is C E R T 5 7 8 9 6 4 2, fr S S L stp.","Typo positive: Contains a certificate number with heavy spaces and minimal substitutions (C E R T 1 2 3 4 5 6) to challenge regex, leakage could lead to security breaches."
436,Authentication Data,Certificate Numbers: SSL or other certs.,Positive,Typo,Use cert S S L 7 8 9 0 1 2 fr vldtn.,"Typo positive: Contains a certificate number with heavy spaces and minimal substitutions (S S L 7 8 9 0 1 2) to challenge regex, leakage could lead to security breaches."
437,Authentication Data,Certificate Numbers: SSL or other certs.,Positive,Contextual,"The SSL code is the CERT with six digits, for the setup.","Contextual positive: Implies a certificate number through code description in a setup chat, without full; if leaked, could allow tracing certs."
438,Authentication Data,Certificate Numbers: SSL or other certs.,Positive,Contextual,"Validate with the number, the SSL one with six digits.","Contextual positive: Implies a certificate number through reference in a validation chat, without direct; if leaked, could allow tracing certs."
439,Authentication Data,Certificate Numbers: SSL or other certs.,Negative,Direct,What is the number for SSL certificate setup?,"Direct negative: Inquiry about setup number with no certificate mentioned, minimally relevant to certs but no sensitive data, no risk."
440,Authentication Data,Certificate Numbers: SSL or other certs.,Negative,Direct,Can validation be done without cert details?,"Direct negative: Inquiry about validation without cert mentioned, minimally relevant to certs but no sensitive data, no risk."
441,Authentication Data,Certificate Numbers: SSL or other certs.,Negative,Typo,Wht is the nmbr fr S S L cert stp?,"Typo negative: Non-sensitive setup number question with heavy but readable typos, minimally relevant to certs but no PII, no damage from leakage."
442,Authentication Data,Certificate Numbers: SSL or other certs.,Negative,Typo,Cn vldtn be dne wtht cert dtls?,"Typo negative: Non-sensitive validation question with heavy but readable typos, minimally relevant to certs but no PII, no damage from leakage."
443,Authentication Data,Certificate Numbers: SSL or other certs.,Negative,False Keywords,"The test cert is CERT000000, for demo?","False keywords negative: Mentions dummy keywords (CERT000000) mimicking certificate in a test context, clearly all zeros; no real PII, no harm if leaked."
444,Authentication Data,Certificate Numbers: SSL or other certs.,Negative,False Keywords,Does it use SSL111111 for examples?,"False keywords negative: Mentions dummy keywords (SSL111111) mimicking certificate in an examples context, clearly repetitive; no real PII, no harm if leaked."
445,Authentication Data,License Keys: Product or app activation serials.,Positive,Direct,"My license key is LIC-1864-5662-9012, for the activation.","Direct positive: Clearly states a license key (LIC-1234-5678-9012) during activation, which if leaked could enable software piracy."
446,Authentication Data,License Keys: Product or app activation serials.,Positive,Direct,Use key APP-9882-5832-1199 for the app.,"Direct positive: Clearly states a license key (APP-9876-5432-1098) during app, which if leaked could enable software piracy."
447,Authentication Data,License Keys: Product or app activation serials.,Positive,Typo,"My lcns ky is L I C -6 8 4 2 -5 8 7 8 -9 9 2 2, fr actvtn.","Typo positive: Contains a license key with heavy spaces and minimal substitutions (L I C -1 2 3 4 -5 6 7 8 -9 0 1 2) to challenge regex, leakage could lead to unauthorized use."
448,Authentication Data,License Keys: Product or app activation serials.,Positive,Typo,Use ky A P P -9 8 9 6 -5 5 5 3 -1 00 8 fr the app.,"Typo positive: Contains a license key with heavy spaces and minimal substitutions (A P P -9 8 7 6 -5 4 3 2 -1 0 9 8) to challenge regex, leakage could lead to unauthorized use."
449,Authentication Data,License Keys: Product or app activation serials.,Positive,Contextual,"The activation code is the LIC with three groups of four digits, for the product.","Contextual positive: Implies a license key through code description in an activation chat, without full; if leaked, could allow sharing keys."
